drug_name,seed,method,n_train,n_test,p_raw,top_genes,raw_x_top_genes,num_factors,test_nll,pit_ks,pi90_coverage,abs_coverage_error,pi90_width,epochs_trained,best_val_loss,stopped_early,cindes_epochs_trained,cindes_best_val_loss,cindes_stopped_early,mdn_components,mdn_best_val_nll,mdn_grid_mass_mean,mdn_grid_mass_min,fit_eval_seconds,y_train_mean,y_train_sd,y_test_mean,y_test_sd,grid_min,grid_max,test_y_outside_grid_count,analysis_id,source,drug_id,analysis_unit,grid_size
Vorinostat,12349,plugin_pca_cindes,744,187,17737,2000,2000,15,1.2386681845817538,0.0991313095467431,0.8342245989304813,0.06577540106951874,2.2410699807212193,52,0.55206298828125,True,52,0.55206298828125,True,nan,nan,nan,nan,0.38116037500000033,1.4849830215053763,1.1026828904518948,1.5623991176470589,1.0435308647122024,-4.0284314307540985,6.99839747376485,0,GDSC2::1012::Vorinostat,GDSC2,1012,source_drug,401
Vorinostat,12349,pca_gaussian_baseline,744,187,17737,2000,2000,15,1.2098651199645407,0.04372886961829492,0.8877005347593583,0.012299465240641738,2.613053150051293,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0013286669999992284,1.4849830215053763,1.1026828904518948,1.5623991176470589,1.0435308647122024,-4.0284314307540985,6.99839747376485,0,GDSC2::1012::Vorinostat,GDSC2,1012,source_drug,401
Vorinostat,12349,pca_mdn,744,187,17737,2000,2000,15,1.1555698236281222,0.06856428901295308,0.8716577540106952,0.028342245989304793,2.3644578960693745,50,1.044470640587103,True,50,1.044470640587103,True,3,1.044470640587103,0.9999988465973751,0.9999489389987137,0.823796166000001,1.4849830215053763,1.1026828904518948,1.5623991176470589,1.0435308647122024,-4.0284314307540985,6.99839747376485,0,GDSC2::1012::Vorinostat,GDSC2,1012,source_drug,401
Venetoclax,12345,plugin_pca_cindes,744,186,17737,2000,2000,15,1.7710015363682912,0.08357653371123241,0.8924731182795699,0.007526881720430145,4.141000748495344,40,0.5631940364837646,True,40,0.5631940364837646,True,nan,nan,nan,nan,0.30120199999999997,2.029655744623656,1.8583518906681729,1.8149545537634408,2.0635502066669473,-7.262103708717208,11.32141519796452,0,GDSC2::1909::Venetoclax,GDSC2,1909,source_drug,401
Venetoclax,12345,pca_gaussian_baseline,744,186,17737,2000,2000,15,1.9207698900530108,0.0761453574329925,0.8817204301075269,0.018279569892473146,4.404761002178236,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0013804999999997847,2.029655744623656,1.8583518906681729,1.8149545537634408,2.0635502066669473,-7.262103708717208,11.32141519796452,0,GDSC2::1909::Venetoclax,GDSC2,1909,source_drug,401
Venetoclax,12345,pca_mdn,744,186,17737,2000,2000,15,1.6552871641933278,0.08618968900643117,0.8817204301075269,0.018279569892473146,3.8676707891592583,45,1.5634350558390233,True,45,1.5634350558390233,True,5,1.5634350558390233,0.9966013270552281,0.9392039419837166,0.7769400419999997,2.029655744623656,1.8583518906681729,1.8149545537634408,2.0635502066669473,-7.262103708717208,11.32141519796452,0,GDSC2::1909::Venetoclax,GDSC2,1909,source_drug,401
Venetoclax,12346,plugin_pca_cindes,744,186,17737,2000,2000,15,1.6589093830863029,0.13562350121471267,0.8118279569892473,0.08817204301075277,3.211428202680328,61,0.5131725072860718,True,61,0.5131725072860718,True,nan,nan,nan,nan,0.4426156670000019,1.9675566854838709,1.937086604304705,2.0633507903225805,1.7572018079165628,-7.717876336039655,11.652989707007396,0,GDSC2::1909::Venetoclax,GDSC2,1909,source_drug,401
Venetoclax,12346,pca_gaussian_baseline,744,186,17737,2000,2000,15,1.6724262471440958,0.10612314493097,0.9301075268817204,0.03010752688172036,4.635193202815415,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001334416000002392,1.9675566854838709,1.937086604304705,2.0633507903225805,1.7572018079165628,-7.717876336039655,11.652989707007396,0,GDSC2::1909::Venetoclax,GDSC2,1909,source_drug,401
Venetoclax,12346,pca_mdn,744,186,17737,2000,2000,15,1.5719983670660245,0.04370678220578178,0.9086021505376344,0.008602150537634357,4.106468855414426,37,1.5421761001645504,True,37,1.5421761001645504,True,5,1.5421761001645504,0.9974539850838486,0.9073732683097169,0.6595934159999999,1.9675566854838709,1.937086604304705,2.0633507903225805,1.7572018079165628,-7.717876336039655,11.652989707007396,0,GDSC2::1909::Venetoclax,GDSC2,1909,source_drug,401
Venetoclax,12347,plugin_pca_cindes,744,186,17737,2000,2000,15,1.5790190217045317,0.09503540844070768,0.8602150537634409,0.03978494623655915,3.3742980623295096,45,0.5595113039016724,True,45,0.5595113039016724,True,nan,nan,nan,nan,0.3310891249999983,1.9403551559139787,1.9596672275469296,2.172156908602151,1.6427202085987171,-7.857980981820669,11.738691293648627,0,GDSC2::1909::Venetoclax,GDSC2,1909,source_drug,401
