drug_name,seed,method,n_train,n_test,p_raw,top_genes,raw_x_top_genes,num_factors,test_nll,pit_ks,pi90_coverage,abs_coverage_error,pi90_width,epochs_trained,best_val_loss,stopped_early,cindes_epochs_trained,cindes_best_val_loss,cindes_stopped_early,mdn_components,mdn_best_val_nll,mdn_grid_mass_mean,mdn_grid_mass_min,fit_eval_seconds,y_train_mean,y_train_sd,y_test_mean,y_test_sd,grid_min,grid_max,test_y_outside_grid_count,analysis_id,source,drug_id,analysis_unit,grid_size
WH-4-023,12346,pca_gaussian_baseline,305,77,17737,2000,2000,10,2.0552639337183614,0.1349815636547595,0.8961038961038961,0.003896103896103953,6.155429606332695,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0016106669936561957,2.122638485245902,2.102426134977869,2.252442298701299,2.080401625588011,-8.389492189643441,12.634769160135246,0,GDSC1::56::WH-4-023,GDSC1,56,source_drug,401
WH-4-023,12346,pca_mdn,305,77,17737,2000,2000,10,1.8532085426442035,0.11990513813956916,0.9090909090909091,0.009090909090909038,5.423567591160718,54,1.8835189247752995,True,54,1.8835189247752995,True,3,1.8835189247752995,0.9998559197387491,0.9987619050950037,0.47037233399169054,2.122638485245902,2.102426134977869,2.252442298701299,2.080401625588011,-8.389492189643441,12.634769160135246,0,GDSC1::56::WH-4-023,GDSC1,56,source_drug,401
WH-4-023,12347,plugin_pca_cindes,305,77,17737,2000,2000,10,2.1635490918640468,0.1637624247099453,0.7922077922077922,0.10779220779220777,4.462521270292029,97,0.6394882202148438,True,97,0.6394882202148438,True,nan,nan,nan,nan,0.42580945800000336,2.264376449180328,2.009162092937553,1.6910127012987013,2.368463619683422,-7.781434015507437,12.310186913868094,0,GDSC1::56::WH-4-023,GDSC1,56,source_drug,401
WH-4-023,12347,gaussian_elasticnet_baseline,305,77,17737,2000,2000,10,2.3880131794770776,0.13445910675862216,0.7922077922077922,0.10779220779220777,4.685210211143606,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.9410151670017513,2.264376449180328,2.009162092937553,1.6910127012987013,2.368463619683422,-7.781434015507437,12.310186913868094,0,GDSC1::56::WH-4-023,GDSC1,56,source_drug,401
WH-4-023,12347,pca_gaussian_baseline,305,77,17737,2000,2000,10,2.2382635878376385,0.10561926846092466,0.8571428571428571,0.04285714285714293,5.823401753429394,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001551791006932035,2.264376449180328,2.009162092937553,1.6910127012987013,2.368463619683422,-7.781434015507437,12.310186913868094,0,GDSC1::56::WH-4-023,GDSC1,56,source_drug,401
WH-4-023,12347,pca_mdn,305,77,17737,2000,2000,10,2.04693762125907,0.08234485277869369,0.8831168831168831,0.016883116883116944,5.500325175057193,58,1.7323748378299015,True,58,1.7323748378299015,True,2,1.7323748378299015,0.9999274833983292,0.9983248221964127,0.6266341659938917,2.264376449180328,2.009162092937553,1.6910127012987013,2.368463619683422,-7.781434015507437,12.310186913868094,0,GDSC1::56::WH-4-023,GDSC1,56,source_drug,401
WH-4-023,12348,plugin_pca_cindes,305,77,17737,2000,2000,10,2.073043094831494,0.1770844621615941,0.8051948051948052,0.09480519480519478,4.64590891088144,97,0.5725364089012146,True,97,0.5725364089012146,True,nan,nan,nan,nan,0.4180541249952512,2.215886836065574,2.0628128713439144,1.8830819480519485,2.2163254799177583,-8.098177520654,12.529951192785147,0,GDSC1::56::WH-4-023,GDSC1,56,source_drug,401
WH-4-023,12348,gaussian_elasticnet_baseline,305,77,17737,2000,2000,10,2.179747766542206,0.12892997354658267,0.7792207792207793,0.12077922077922076,4.873488156309533,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.3546880840003723,2.215886836065574,2.0628128713439144,1.8830819480519485,2.2163254799177583,-8.098177520654,12.529951192785147,0,GDSC1::56::WH-4-023,GDSC1,56,source_drug,401
WH-4-023,12348,pca_gaussian_baseline,305,77,17737,2000,2000,10,2.1630837576711452,0.0938627562784231,0.8571428571428571,0.04285714285714293,5.944307471007214,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0016523749945918098,2.215886836065574,2.0628128713439144,1.8830819480519485,2.2163254799177583,-8.098177520654,12.529951192785147,0,GDSC1::56::WH-4-023,GDSC1,56,source_drug,401
WH-4-023,12348,pca_mdn,305,77,17737,2000,2000,10,2.083932858782929,0.11698485667784794,0.8181818181818182,0.08181818181818179,5.2897987982758,87,1.818112059995114,True,87,1.818112059995114,True,3,1.818112059995114,0.999619745692979,0.9910788328697255,0.6035440410050796,2.215886836065574,2.0628128713439144,1.8830819480519485,2.2163254799177583,-8.098177520654,12.529951192785147,0,GDSC1::56::WH-4-023,GDSC1,56,source_drug,401
