drug_name,method,test_nll_mean,test_nll_se,delta_nll_vs_elasticnet,delta_nll_vs_pca_gaussian,pit_ks_mean,pi90_coverage_mean,abs_coverage_error,pi90_width_mean,reps
SGC-CBP30,Plug-in PCA CINDES,1.2008501470870796,0.037240476830109295,0.0030649293371893815,0.025189142778454743,0.09112824891941514,0.883916083916084,0.016083916083916017,2.6076065526635133,5
SGC-CBP30,ElasticNet Gaussian,1.1977852177498902,0.05061525036470774,0.0,0.02212421344126536,0.08593317326660103,0.8321678321678322,0.06783216783216783,2.1339672828497243,5
SGC-CBP30,PCA/Ridge Gaussian,1.1756610043086249,0.04284523093050532,-0.02212421344126536,0.0,0.08330576878207782,0.86993006993007,0.030069930069929973,2.4073399548274557,5
SGC-CBP30,PCA MDN,1.1786485846226031,0.03942922623202303,-0.019136633127287084,0.0029875803139782775,0.09417770248254356,0.855944055944056,0.04405594405594404,2.3438227369249045,5
SGC0946,Plug-in PCA CINDES,0.9198692482478256,0.06101136425497235,-0.014560941293556007,-0.002933902289979251,0.05793014120786803,0.9079341685089659,0.007934168508965889,2.0891332730882013,5
SGC0946,ElasticNet Gaussian,0.9344301895413816,0.06135963034354589,0.0,0.011627039003576756,0.06477081568282103,0.869632768361582,0.030367231638418035,1.8383258498032542,5
SGC0946,PCA/Ridge Gaussian,0.9228031505378048,0.05452082025708297,-0.011627039003576756,0.0,0.06122346076611973,0.8992385163350528,0.0007614836649472156,2.032910805755132,5
SGC0946,PCA MDN,0.9174894267438312,0.05581178454570204,-0.016940762797550413,-0.005313723793973657,0.06020121955973009,0.8815033161385409,0.018496683861459084,1.9424287233733935,5
SL0101,Plug-in PCA CINDES,1.170491617957688,0.03820902152881374,-0.08099475019696412,0.07770384239072459,0.11302241130875776,0.9019444444444444,0.0019444444444444153,2.6884624221542923,5
SL0101,ElasticNet Gaussian,1.2514863681546522,0.10486013004634474,0.0,0.1586985925876887,0.1214565995125747,0.8052777777777778,0.09472222222222226,1.971075417182861,5
SL0101,PCA/Ridge Gaussian,1.0927877755669635,0.027308994692105563,-0.1586985925876887,0.0,0.10383020253823572,0.8861111111111111,0.01388888888888895,2.400397722815076,5
SL0101,PCA MDN,1.132612286383907,0.01625878318056506,-0.11887408177074521,0.03982451081694349,0.10291545645774285,0.8608333333333332,0.039166666666666794,2.3391545465717547,5
SN-38,Plug-in PCA CINDES,1.9493408272856139,0.037294565147156906,0.08433590036853045,-0.019952814527581575,0.09842158672628597,0.875769299077259,0.024230700922741044,5.271369347528618,5
SN-38,ElasticNet Gaussian,1.8650049269170834,0.053875520341053404,0.0,-0.10428871489611202,0.09247777930189605,0.8579222613118263,0.04207773868817377,4.449937362827696,5
SN-38,PCA/Ridge Gaussian,1.9692936418131954,0.04119353190851271,0.10428871489611202,0.0,0.08281540456685105,0.894920702080629,0.005079297919371006,5.592697187488948,5
SN-38,PCA MDN,1.929157594763421,0.03935587926360234,0.06415266784633755,-0.04013604704977447,0.08597591892175588,0.8758362041121567,0.024163795887843342,5.299255543084925,5
SNX-2112,Plug-in PCA CINDES,2.046515666644396,0.03560473056072651,-0.025639865485918456,-0.002807869843821642,0.09727475195498145,0.855367231638418,0.04463276836158203,5.657586375789753,5
SNX-2112,ElasticNet Gaussian,2.0721555321303144,0.02846649421259783,0.0,0.022831995642096814,0.0932102623826746,0.8485875706214688,0.05141242937853119,5.422895332139441,5
SNX-2112,PCA/Ridge Gaussian,2.0493235364882176,0.021504001365450224,-0.022831995642096814,0.0,0.07864029021523702,0.8937853107344633,0.006214689265536699,6.069361886884092,5
SNX-2112,PCA MDN,1.9980511951917983,0.017977452588089613,-0.07410433693851615,-0.05127234129641933,0.07638003091586866,0.864406779661017,0.035593220338983045,5.632604008294372,5
STF-62247,Plug-in PCA CINDES,1.226043802301029,0.01898075878032329,-0.06991307982883632,-0.06173281003486286,0.07847464619031294,0.852808988764045,0.04719101123595504,2.5117569454761477,5
STF-62247,ElasticNet Gaussian,1.2959568821298653,0.025890205837957817,0.0,0.00818026979397346,0.09523628410550924,0.8730337078651684,0.026966292134831593,2.4775704126282765,5
STF-62247,PCA/Ridge Gaussian,1.2877766123358918,0.019218244711588173,-0.00818026979397346,0.0,0.09731270568134212,0.8932584269662922,0.006741573033707815,2.678905146391702,5
STF-62247,PCA MDN,1.213935009984488,0.012786933460576935,-0.08202187214537737,-0.07384160235140391,0.06024617174271574,0.8617977528089888,0.038202247191011174,2.5526944490688326,5
SU11274,Plug-in PCA CINDES,1.557529689042926,0.026315644488390463,-0.0029205679876431745,0.024111434121559583,0.10403368082809461,0.8944444444444445,0.005555555555555536,3.494495547622301,5
SU11274,ElasticNet Gaussian,1.5604502570305692,0.030432491260105627,0.0,0.027032002109202757,0.11013959466705232,0.8433333333333334,0.05666666666666664,3.149836545261533,5
SU11274,PCA/Ridge Gaussian,1.5334182549213664,0.023228774643281925,-0.027032002109202757,0.0,0.08598535327281864,0.9177777777777777,0.01777777777777767,3.595326290647646,5
SU11274,PCA MDN,1.5180256781644292,0.031966617272256276,-0.04242457886613993,-0.01539257675693717,0.0804724042204218,0.8755555555555556,0.02444444444444438,3.3693052204898337,5
Sabutoclax,Plug-in PCA CINDES,1.524603402229959,0.015269337785179743,-0.02845412706945294,-0.0032973657277584056,0.08502024041621878,0.8739884393063584,0.026011560693641633,3.3095753937660617,5
Sabutoclax,ElasticNet Gaussian,1.553057529299412,0.012397999149377002,0.0,0.025156761341694533,0.08383211523520212,0.8150289017341039,0.0849710982658961,2.8392440548507727,5
Sabutoclax,PCA/Ridge Gaussian,1.5279007679577175,0.011544499575952254,-0.025156761341694533,0.0,0.054287976480585864,0.8797687861271676,0.020231213872832443,3.4058136525048104,5
Sabutoclax,PCA MDN,1.5352315653266246,0.017074311930747745,-0.01782596397278735,0.007330797368907183,0.07181177958624056,0.8728323699421965,0.027167630057803538,3.2964142314537144,5
Salubrinal,Plug-in PCA CINDES,1.5246772330081186,0.0347207482812673,0.0214460073294227,0.04635725479190089,0.13354980051686366,0.8961038961038961,0.003896103896103953,3.533855987221108,5
Salubrinal,ElasticNet Gaussian,1.503231225678696,0.06790177356802228,0.0,0.024911247462478192,0.1215656749234939,0.825974025974026,0.074025974025974,2.959170468041548,5
Salubrinal,PCA/Ridge Gaussian,1.4783199782162177,0.0549496024122934,-0.024911247462478192,0.0,0.1166412948801366,0.864935064935065,0.03506493506493502,3.222710504221806,5
Salubrinal,PCA MDN,1.5075129812413997,0.06667925973672528,0.004281755562703715,0.029193003025181907,0.11777716626319885,0.8493506493506494,0.05064935064935061,3.163711028758284,5
Sapitinib,Plug-in PCA CINDES,1.7196176136461667,0.020442614186256033,-0.089056861385294,-0.06944927866786288,0.08097156829596622,0.8712765957446809,0.028723404255319163,4.28700985352159,5
Sapitinib,ElasticNet Gaussian,1.8086744750314607,0.03247542615773186,0.0,0.019607582717431127,0.08457506639186589,0.8372340425531914,0.06276595744680857,3.8097259453128003,5
Sapitinib,PCA/Ridge Gaussian,1.7890668923140296,0.02451261085957179,-0.019607582717431127,0.0,0.09940268368259117,0.898936170212766,0.0010638297872340718,4.759243162842996,5
Sapitinib,PCA MDN,1.673337319239657,0.02938747766666316,-0.13533715579180372,-0.1157295730743726,0.07484379362332481,0.875531914893617,0.024468085106382986,4.141075119062217,5
