analysis_id,drug_name,delta_nll_plugin_vs_elasticnet,delta_coverage_error_plugin_vs_elasticnet,delta_nll_plugin_vs_pca_gaussian,delta_coverage_error_plugin_vs_pca_gaussian,delta_nll_plugin_vs_pca_mdn,delta_coverage_error_plugin_vs_pca_mdn
GDSC1::1028::VX-702,VX-702,-0.10833324529702804,-0.0021978021978021796,-0.08238232532429879,0.009450549450549479,-0.011450742834869576,0.015384615384615418
GDSC1::1029::Motesanib,Motesanib,-0.019588935732633317,-0.0004395604395604387,-0.026856940595579415,-0.012527472527472518,0.042410079088716746,0.00505494505494504
GDSC1::1030::KU-55933,KU-55933,0.06527325760584746,0.01704918032786884,0.03781278158036283,0.026666666666666637,0.01584059679102423,0.01792349726775954
GDSC1::1031::Elesclomol,Elesclomol,-0.007819648919503486,-0.018784530386740383,0.018543473288461954,0.015469613259668481,0.0016670160262448608,-0.014364640883977903
GDSC1::1032::Afatinib,Afatinib,-0.21777048104895513,0.030769230769230764,-0.20492611025109286,0.04527472527472531,0.005673014382594932,0.03362637362637361
GDSC1::1033::Vismodegib,Vismodegib,0.00403681991717586,-0.02782608695652178,0.0038988560605670575,0.009782608695652159,0.010274585349669296,0.0065217391304348005
GDSC1::1036::PLX-4720,PLX-4720,-0.070694196848331,0.002404371584699444,-0.04563160762810359,0.042404371584699466,0.028248138427725333,0.022950819672131167
GDSC1::1037::BX795,BX795,0.0012936197599897614,-0.008524590163934455,-0.011553037049216286,0.015956284153005464,0.014835072695263518,-0.015081967213114778
GDSC1::1038::NU7441,NU7441,0.03131999840741195,0.014725274725274684,0.03240833307883029,0.02989010989010996,0.02623824480055248,0.025274725274725303
GDSC1::1039::SL0101,SL0101,0.018843414675365322,0.0044444444444444176,0.004264620119174056,0.02,0.015274187465596167,0.008888888888888918
GDSC1::1042::Doramapimod,Doramapimod,0.007783704873139952,0.006666666666666699,0.010970671582109404,0.0155555555555556,-0.018026950829818755,-0.003333333333333282
GDSC1::1043::JNK Inhibitor VIII,JNK Inhibitor VIII,-0.03613483322446798,-0.010710382513661177,-0.006677074629185764,0.01355191256830604,0.012708490314882859,-0.0021857923497267985
GDSC1::1046::Wee1 Inhibitor,Wee1 Inhibitor,0.05181139072408936,-0.025060240963855403,0.0318028067072329,0.008433734939759019,0.019408684370988194,-0.0014457831325301387
GDSC1::1047::Nutlin-3a (-),Nutlin-3a (-),0.1350509066809351,-0.027103825136612053,-0.0025891801610637977,0.040874316939890694,0.09682755620621952,0.037158469945355134
GDSC1::1048::Mirin,Mirin,0.01084084331170243,-0.02371257485029938,0.01647565591817668,0.005269461077844342,0.021022408592779485,-0.001437125748503
GDSC1::1049::PD173074,PD173074,-0.19269470031599956,0.00765027322404372,-0.15947194487294358,0.0024043715846994163,0.04227788397459942,0.00918032786885244
GDSC1::104::Bortezomib,Bortezomib,-0.06701059454376224,-0.015584415584415555,-0.028640443082727174,-0.0010389610389610199,-0.0076585049290052165,-0.01142857142857142
GDSC1::1050::ZM447439,ZM447439,0.015169321165013683,-0.049836065573770516,0.032161146681266795,0.018360655737704863,0.049934384345173166,0.00021857923497266285
GDSC1::1052::RO-3306,RO-3306,-0.025320347619860684,0.01333333333333328,-0.01768266071816993,0.04262295081967209,-0.0006241978772689727,0.030601092896174846
GDSC1::1053::MK-2206,MK-2206,-0.006621886994734538,-0.054857142857142854,0.029545752543079118,0.009142857142857161,0.04707498338747551,-0.0068571428571428394
GDSC1::1054::Palbociclib,Palbociclib,-0.02485301481223079,-0.08800000000000002,0.004398847024696506,0.006857142857142853,0.004129853227573532,-0.008000000000000042
GDSC1::1057::Dactolisib,Dactolisib,-0.0513191608077328,-0.00555555555555556,-0.02782611686106473,0.005555555555555602,-0.0007244536182255956,-0.0011111111111111217
GDSC1::1058::Pictilisib,Pictilisib,0.0023250455433931894,-0.04397790055248617,-0.0017371899679083924,0.005524861878453059,0.015959702500079498,-0.008618784530386735
GDSC1::1059::AZD8055,AZD8055,0.015498377865001522,-0.006187845303867422,-0.0030477445551162496,0.005303867403314941,0.009995614022728416,0.0013259668508287213
GDSC1::1060::PD0325901,PD0325901,-0.01133407105578721,-0.03555555555555556,0.02451387653430137,0.004444444444444463,0.0289041238003942,-0.013333333333333378
