analysis_id,drug_name,method,n_matched,mean_test_nll,se_test_nll,mean_pit_ks,se_pit_ks,mean_pi90_coverage,se_pi90_coverage,mean_abs_coverage_error,se_abs_coverage_error,mean_pi90_width,se_pi90_width,reps
GDSC1::284::JNJ38877605,JNJ38877605,pca_gaussian_baseline,895,1.3414617449536361,0.026659094407290463,0.07662322574954025,0.008627804351807704,0.9318435754189945,0.008545842760211362,0.03184357541899434,0.008545842760211374,3.2756778796933674,0.02230848753909569,5
GDSC1::284::JNJ38877605,JNJ38877605,pca_mdn,895,1.3678356688448836,0.04964250871795467,0.061528606433045044,0.0032537956245932433,0.8927374301675977,0.014066679678228122,0.02469273743016756,0.007656689027491307,2.9719884264121106,0.03596606308631884,5
GDSC1::285::SU11274,SU11274,plugin_pca_cindes,896,1.557529689042926,0.026315644488390463,0.10403368082809461,0.011605225207455338,0.8944444444444445,0.019002923751652304,0.03,0.011992796191623847,3.494495547622301,0.08975824275917066,5
GDSC1::285::SU11274,SU11274,gaussian_elasticnet_baseline,896,1.5604502570305692,0.030432491260105627,0.11013959466705232,0.007857636896272594,0.8433333333333334,0.022730302828309755,0.056666666666666664,0.022730302828309748,3.149836545261533,0.10071748490896708,5
GDSC1::285::SU11274,SU11274,pca_gaussian_baseline,896,1.5334182549213664,0.023228774643281925,0.08598535327281864,0.009981661568434073,0.9177777777777777,0.015654447559561514,0.033333333333333284,0.006804138174397706,3.595326290647646,0.02223183890681809,5
GDSC1::285::SU11274,SU11274,pca_mdn,896,1.5180256781644292,0.031966617272256276,0.0804724042204218,0.0065643328219998935,0.8755555555555556,0.018475876831462092,0.03111111111111108,0.015772299518420435,3.3693052204898337,0.037138816979172845,5
GDSC1::286::KIN001-236,KIN001-236,plugin_pca_cindes,890,1.1987504725116787,0.013635178136875915,0.08252001322665266,0.011415922046771627,0.8910112359550562,0.015649874468746224,0.027865168539325802,0.008426217195169769,2.614298416283597,0.15301146645280744,5
GDSC1::286::KIN001-236,KIN001-236,gaussian_elasticnet_baseline,890,1.1865519623320249,0.026069192926128058,0.08484378639912113,0.011186618190878033,0.8820224719101123,0.009891470146999449,0.02202247191011234,0.007575733856646112,2.3808388745037066,0.04364633937204512,5
GDSC1::286::KIN001-236,KIN001-236,pca_gaussian_baseline,890,1.21070653257323,0.022123743041753016,0.08108155034297662,0.007567088816480875,0.9078651685393258,0.007661899829767309,0.013258426966292081,0.005497586437179783,2.609294769723624,0.014222698341246781,5
GDSC1::286::KIN001-236,KIN001-236,pca_mdn,890,1.219660855302315,0.028178505515566794,0.07362390884796392,0.012675996621630816,0.8797752808988764,0.008630500840301803,0.02022471910112362,0.008630500840301803,2.5028705143927614,0.03617049143321758,5
GDSC1::287::KIN001-244,KIN001-244,plugin_pca_cindes,889,1.5078057102802862,0.02422282551782227,0.08191370650741844,0.010057701354031428,0.8752808988764045,0.009299407504071277,0.02651685393258426,0.007965650280793766,3.529920657854201,0.052917894300202946,5
GDSC1::287::KIN001-244,KIN001-244,gaussian_elasticnet_baseline,889,1.5034214632031706,0.01715963253076748,0.09081341571777668,0.013218586130989318,0.8865168539325843,0.0069717267674106,0.015280898876404459,0.005973048925843606,3.512896950944973,0.020799900957035534,5
GDSC1::287::KIN001-244,KIN001-244,pca_gaussian_baseline,889,1.5068711579018417,0.01350688574520279,0.09135030642914835,0.014868715929892083,0.9011235955056179,0.002864617704265623,0.00471910112359548,0.0017187706225593484,3.6109387250649396,0.01295610749667027,5
GDSC1::287::KIN001-244,KIN001-244,pca_mdn,889,1.4947730245550026,0.01749899261697304,0.07659320157119273,0.009960066124389698,0.8764044943820224,0.012049219432318646,0.02359550561797754,0.012049219432318648,3.45461084535059,0.05836305764758115,5
GDSC1::288::WHI-P97,WHI-P97,plugin_pca_cindes,890,1.337109473666797,0.02317296758236884,0.09824998344461974,0.013156400915929834,0.8786516853932584,0.01212754671063086,0.02719101123595502,0.008727957971208322,2.8715478450223264,0.08636535964436239,5
GDSC1::288::WHI-P97,WHI-P97,gaussian_elasticnet_baseline,890,1.364382780738192,0.03172225243211977,0.06977978409456892,0.010306651227216957,0.9056179775280899,0.003275815671261411,0.008314606741572961,0.0011568123753917907,2.9062653654220996,0.02063917856746362,5
GDSC1::288::WHI-P97,WHI-P97,pca_gaussian_baseline,890,1.3877686201866473,0.03018636512607285,0.07340411711593917,0.007960260173950297,0.9235955056179774,0.0038102977433287816,0.023595505617977422,0.003810297743328788,3.1830850999234768,0.01995157726396892,5
GDSC1::288::WHI-P97,WHI-P97,pca_mdn,890,1.3164418685658092,0.03994905407826602,0.07398817201513508,0.0072912861242996445,0.897752808988764,0.016984512873967378,0.03011235955056174,0.007940251570361705,2.8863050900230385,0.05984644216118765,5
GDSC1::289::KIN001-042,KIN001-042,plugin_pca_cindes,895,0.9922564488123499,0.0317295144543869,0.09824036389221716,0.003361066057296026,0.8938547486033519,0.0063696951122857,0.01240223463687148,0.00340002772172132,1.9807588893153216,0.04171053125875514,5
GDSC1::289::KIN001-042,KIN001-042,gaussian_elasticnet_baseline,895,1.0720686510842856,0.09994071128513664,0.08747563128768103,0.011048132179335016,0.8994413407821229,0.016944973059333075,0.026703910614525102,0.010437213540251834,1.9587108553237347,0.07857200642526642,5
GDSC1::289::KIN001-042,KIN001-042,pca_gaussian_baseline,895,1.051635513169878,0.058639653780250905,0.08798751740354716,0.01018751622861009,0.9106145251396647,0.00983621053723965,0.01977653631284908,0.005209628257821121,2.1754330792417687,0.030336947618585502,5
GDSC1::289::KIN001-042,KIN001-042,pca_mdn,895,0.9975987971494984,0.05106934119339263,0.07401884780199411,0.006480703783069258,0.8938547486033519,0.008286255292844307,0.01463687150837984,0.004954145089920737,2.0236649714196053,0.03510147802179903,5
